Sigla,Código,Município,Produção -  arroz (1985),Produção -  cana-de-açúcar (1985),Produção -  mandioca (1985),
GO,5213053,Mimoso de Goiás,,,,
GO,5213087,Minaçu,2784,2075,375,
GO,5213103,Mineiros,12240,9200,3750,
GO,5213400,Moiporá,450,780,225,
GO,5213509,Monte Alegre de Goiás,820,6200,275,
GO,5213707,Montes Claros de Goiás,17100,3675,450,
GO,5213756,Montividiu,,,,
GO,5213772,Montividiu do Norte,,,,
GO,5213806,Morrinhos,5120,16200,520,
GO,5213855,Morro Agudo de Goiás,,,,
GO,5213905,Mossâmedes,4000,17520,600,
GO,5214002,Mozarlândia,9000,0,525,
GO,5214051,Mundo Novo,4200,250,1920,
GO,5214101,Mutunópolis,5214,2100,900,
GO,5214408,Nazário,1770,4600,600,
GO,5214507,Nerópolis,560,2800,2240,
GO,5214606,Niquelândia,7540,4150,1200,
GO,5214705,Nova América,1600,1000,320,
GO,5214804,Nova Aurora,160,2700,160,
GO,5214838,Nova Crixás,11200,250,1920,
GO,5214861,Nova Glória,3000,1120,2730,
GO,5214879,Nova Iguaçu de Goiás,,,,
GO,5214903,Nova Roma,1400,3900,2400,
GO,5215009,Nova Veneza,744,2375,308,
GO,5215207,Novo Brasil,1520,3200,600,
GO,5215231,Novo Gama,,,,
GO,5215256,Novo Planalto,,,,
GO,5215306,Orizona,4550,11800,2400,
GO,5215405,Ouro Verde de Goiás,720,3050,420,
GO,5215504,Ouvidor,150,850,350,
GO,5215603,Padre Bernardo,3430,2750,1120,
GO,5215652,Palestina de Goiás,,,,
GO,5215702,Palmeiras de Goiás,7375,4700,1200,
GO,5215801,Palmelo,320,480,36,
GO,5215900,Palminópolis,1344,1950,750,
GO,5216007,Panamá,2970,3060,400,
GO,5216304,Paranaiguara,357,7600,750,
GO,5216403,Paraúna,6720,4900,1200,
GO,5216452,Perolândia,,,,
GO,5216809,Petrolina de Goiás,1000,8000,2700,
GO,5216908,Pilar de Goiás,2400,800,480,
GO,5217104,Piracanjuba,9424,7320,3600,
GO,5217203,Piranhas,7680,1500,440,
GO,5217302,Pirenópolis,11760,55000,700,
GO,5217401,Pires do Rio,2080,5850,600,
GO,5217609,Planaltina,6076,10400,1500,
GO,5217708,Pontalina,3350,900,1050,
GO,5218003,Porangatu,29445,3950,1800,
GO,5218052,Porteirão,,,,
GO,5218102,Portelândia,2400,1280,450,
GO,5218300,Posse,595,4800,2400,
GO,5218391,Professor Jamil,,,,
GO,5218508,Quirinópolis,9650,3200,2100,
GO,5218607,Rialma,920,2650,380,
GO,5218706,Rianápolis,880,0,340,
GO,5218789,Rio Quente,,,,
GO,5218805,Rio Verde,26520,65000,4500,
GO,5218904,Rubiataba,6000,30100,4800,
