SIGLA;CODIBGE;NOMEMUNI;IDH1991;IDH2000
GO;5213053;Mimoso de Goiás;0.6;0.664
GO;5213087;Minaçu;0.66;0.749
GO;5213103;Mineiros;0.701;0.78
GO;5213400;Moiporá;0.638;0.73
GO;5213509;Monte Alegre de Goiás;0.537;0.625
GO;5213707;Montes Claros de Goiás;0.656;0.75
GO;5213756;Montividiu;0.655;0.794
GO;5213772;Montividiu do Norte;0.574;0.654
GO;5213806;Morrinhos;0.717;0.806
GO;5213855;Morro Agudo de Goiás;0.615;0.717
GO;5213905;Mossâmedes;0.655;0.75
GO;5214002;Mozarlândia;0.644;0.728
GO;5214051;Mundo Novo;0.595;0.692
GO;5214101;Mutunópolis;0.639;0.722
GO;5214408;Nazário;0.688;0.765
GO;5214507;Nerópolis;0.697;0.785
GO;5214606;Niquelândia;0.609;0.739
GO;5214705;Nova América;0.643;0.715
GO;5214804;Nova Aurora;0.697;0.785
GO;5214838;Nova Crixás;0.593;0.686
GO;5214861;Nova Glória;0.647;0.724
GO;5214879;Nova Iguaçu de Goiás;0.591;0.723
GO;5214903;Nova Roma;0.57;0.679
GO;5215009;Nova Veneza;0.648;0.732
GO;5215207;Novo Brasil;0.634;0.712
GO;5215231;Novo Gama;0.662;0.742
GO;5215256;Novo Planalto;0.646;0.715
GO;5215306;Orizona;0.68;0.768
GO;5215405;Ouro Verde de Goiás;0.645;0.719
GO;5215504;Ouvidor;0.704;0.785
GO;5215603;Padre Bernardo;0.622;0.705
GO;5215652;Palestina de Goiás;0.647;0.739
GO;5215702;Palmeiras de Goiás;0.678;0.76
GO;5215801;Palmelo;0.692;0.787
GO;5215900;Palminópolis;0.647;0.753
GO;5216007;Panamá;0.684;0.734
GO;5216304;Paranaiguara;0.681;0.751
GO;5216403;Paraúna;0.677;0.742
GO;5216452;Perolândia;0.611;0.73
GO;5216809;Petrolina de Goiás;0.641;0.733
GO;5216908;Pilar de Goiás;0.584;0.7
GO;5217104;Piracanjuba;0.714;0.755
GO;5217203;Piranhas;0.642;0.737
GO;5217302;Pirenópolis;0.638;0.713
GO;5217401;Pires do Rio;0.683;0.785
GO;5217609;Planaltina;0.644;0.723
GO;5217708;Pontalina;0.682;0.805
GO;5218003;Porangatu;0.668;0.761
GO;5218052;Porteirão;0.6;0.724
GO;5218102;Portelândia;0.653;0.78
GO;5218300;Posse;0.604;0.711
GO;5218391;Professor Jamil;0.638;0.736
GO;5218508;Quirinópolis;0.688;0.78
GO;5218607;Rialma;0.668;0.777
GO;5218706;Rianápolis;0.664;0.759
GO;5218789;Rio Quente;0.672;0.806
GO;5218805;Rio Verde;0.702;0.807
GO;5218904;Rubiataba;0.649;0.748
GO;5219001;Sanclerlândia;0.643;0.734
GO;5219100;Santa Bárbara de Goiás;0.636;0.733
GO;5219209;Santa Cruz de Goiás;0.693;0.782
GO;5219258;Santa Fé de Goiás;0.624;0.714
GO;5219308;Santa Helena de Goiás;0.686;0.747
GO;5219357;Santa Isabel;0.665;0.72
GO;5219407;Santa Rita do Araguaia;0.682;0.756
GO;5219456;Santa Rita do Novo Destino;0.59;0.684
GO;5219506;Santa Rosa de Goiás;0.655;0.715
GO;5219605;Santa Tereza de Goiás;0.624;0.729
GO;5219704;Santa Terezinha de Goiás;0.652;0.721
GO;5219712;Santo Antônio da Barra;0.623;0.746
GO;5219738;Santo Antônio de Goiás;0.651;0.749
GO;5219753;Santo Antônio do Descoberto;0.661;0.709
GO;5219803;São Domingos;0.549;0.631
GO;5219902;São Francisco de Goiás;0.635;0.726
GO;5220009;São João d'Aliança;0.629;0.718
GO;5220058;São João da Paraúna;0.662;0.779
GO;5220108;São Luís de Montes Belos;0.669;0.752
GO;5220157;São Luíz do Norte;0.593;0.71
GO;5220207;São Miguel do Araguaia;0.656;0.737
GO;5220264;São Miguel do Passa Quatro;0.667;0.767
GO;5220280;São Patrício;0.631;0.728
GO;5220405;São Simão;0.624;0.754
GO;5220454;Senador Canedo;0.634;0.729
GO;5220504;Serranópolis;0.666;0.742
GO;5220603;Silvânia;0.688;0.774
GO;5220686;Simolândia;0.564;0.657
GO;5220702;Sítio d'Abadia;0.53;0.643
GO;5221007;Taquaral de Goiás;0.621;0.726
GO;5221080;Teresina de Goiás;0.634;0.672
GO;5221197;Terezópolis de Goiás;0.605;0.707
GO;5221304;Três Ranchos;0.69;0.788
GO;5221403;Trindade;0.695;0.759
GO;5221452;Trombas;0.623;0.743
GO;5221502;Turvânia;0.646;0.736
GO;5221551;Turvelândia;0.626;0.685
GO;5221577;Uirapuru;0.554;0.662
GO;5221601;Uruaçu;0.663;0.738
GO;5221700;Uruana;0.703;0.758
GO;5221809;Urutaí;0.666;0.76
GO;5221858;Valparaíso de Goiás;0.739;0.795
GO;5221908;Varjão;0.639;0.729
GO;5222005;Vianópolis;0.694;0.784
GO;5222054;Vicentinópolis;0.681;0.773
GO;5222203;Vila Boa;0.585;0.674
GO;5222302;Vila Propício;0.539;0.674
