Sigla,Código,Município,Produção -  arroz (1995),Produção -  cana-de-açúcar (1995),Produção -  mandioca (1995),
GO,5210604,Itaguaru,1000,,1980,
GO,5210802,Itajá,2100,480,750,
GO,5210901,Itapaci,1440,500,450,
GO,5211008,Itapirapuã,2080,,1200,
GO,5211206,Itapuranga,5000,,7000,
GO,5211305,Itarumã,2250,,900,
GO,5211404,Itauçu,360,7350,630,
GO,5211503,Itumbiara,1730,377876,3600,
GO,5211602,Ivolândia,900,1000,1200,
GO,5211701,Jandaia,1260,280440,1400,
GO,5211800,Jaraguá,1470,,5700,
GO,5211909,Jataí,18000,44000,4200,
GO,5212006,Jaupaci,800,560,720,
GO,5212055,Jesúpolis,210,46920,,
GO,5212105,Joviânia,528,,,
GO,5212204,Jussara,3900,1650,2100,
GO,5212253,Lagoa Santa,,,,
GO,5212303,Leopoldo de Bulhões,180,1200,640,
GO,5212501,Luziânia,2420,30000,1200,
GO,5212600,Mairipotaba,900,,140,
GO,5212709,Mambaí,630,1885,625,
GO,5212808,Mara Rosa,3400,875,800,
GO,5212907,Marzagão,264,,600,
GO,5212956,Matrinchã,3440,,1500,
GO,5213004,Maurilândia,450,232640,840,
GO,5213053,Mimoso de Goiás,600,1750,360,
GO,5213087,Minaçu,2200,2400,1350,
GO,5213103,Mineiros,10500,2600,24000,
GO,5213400,Moiporá,360,134,470,
GO,5213509,Monte Alegre de Goiás,1200,2970,720,
GO,5213707,Montes Claros de Goiás,2400,,750,
GO,5213756,Montividiu,8800,,1400,
GO,5213772,Montividiu do Norte,2000,2000,525,
GO,5213806,Morrinhos,2415,3680,720,
GO,5213855,Morro Agudo de Goiás,455,330,150,
GO,5213905,Mossâmedes,1360,,1200,
GO,5214002,Mozarlândia,1050,,360,
GO,5214051,Mundo Novo,600,,1500,
GO,5214101,Mutunópolis,1680,2000,750,
GO,5214408,Nazário,620,,750,
GO,5214507,Nerópolis,330,,420,
GO,5214606,Niquelândia,4480,2800,1600,
GO,5214705,Nova América,336,920,300,
GO,5214804,Nova Aurora,300,18500,800,
GO,5214838,Nova Crixás,750,,1500,
GO,5214861,Nova Glória,1540,140000,960,
GO,5214879,Nova Iguaçu de Goiás,504,525,400,
GO,5214903,Nova Roma,400,3600,180,
GO,5215009,Nova Veneza,540,11000,700,
GO,5215207,Novo Brasil,350,,600,
GO,5215231,Novo Gama,,,,
GO,5215256,Novo Planalto,2600,1600,640,
GO,5215306,Orizona,800,10800,4800,
GO,5215405,Ouro Verde de Goiás,750,150,840,
GO,5215504,Ouvidor,350,,900,
GO,5215603,Padre Bernardo,1440,6000,750,
GO,5215652,Palestina de Goiás,1650,,600,
GO,5215702,Palmeiras de Goiás,3890,3300,1500,
GO,5215801,Palmelo,120,,,
GO,5215900,Palminópolis,900,1200,450,
GO,5216007,Panamá,1370,25800,1440,
GO,5216304,Paranaiguara,1820,,420,
GO,5216403,Paraúna,2960,4080,910,
GO,5216452,Perolândia,14000,,1200,
GO,5216809,Petrolina de Goiás,840,20160,1800,
GO,5216908,Pilar de Goiás,1210,660,140,
GO,5217104,Piracanjuba,1900,1800,3600,
GO,5217203,Piranhas,750,1100,1000,
GO,5217302,Pirenópolis,4410,170000,3000,
GO,5217401,Pires do Rio,544,1200,1280,
GO,5217609,Planaltina,190,2240,20000,
GO,5217708,Pontalina,1560,,,
GO,5218003,Porangatu,7250,2400,2080,
GO,5218052,Porteirão,,,,
GO,5218102,Portelândia,1050,240,900,
GO,5218300,Posse,782,4800,480,
GO,5218391,Professor Jamil,540,,,
GO,5218508,Quirinópolis,1740,,900,
GO,5218607,Rialma,600,,225,
GO,5218706,Rianápolis,750,,210,
GO,5218789,Rio Quente,360,,,
GO,5218805,Rio Verde,24200,72580,2240,
GO,5218904,Rubiataba,5400,,3240,
GO,5219001,Sanclerlândia,520,,900,
GO,5219100,Santa Bárbara de Goiás,760,350,750,
GO,5219209,Santa Cruz de Goiás,855,,360,
GO,5219258,Santa Fé de Goiás,2310,450,600,
GO,5219308,Santa Helena de Goiás,190,834100,980,
GO,5219357,Santa Isabel,1560,,290,
GO,5219407,Santa Rita do Araguaia,3600,320,375,
GO,5219456,Santa Rita do Novo Destino,,,,
GO,5219506,Santa Rosa de Goiás,800,,1650,
GO,5219605,Santa Tereza de Goiás,1400,2000,640,
GO,5219704,Santa Terezinha de Goiás,980,700,400,
GO,5219712,Santo Antônio da Barra,250,,420,
GO,5219738,Santo Antônio de Goiás,450,17200,900,
GO,5219753,Santo Antônio do Descoberto,810,1000,475,
GO,5219803,São Domingos,960,1500,700,
GO,5219902,São Francisco de Goiás,410,170000,,
GO,5220009,São João d'Aliança,2700,3600,1440,
GO,5220058,São João da Paraúna,1020,,380,
GO,5220108,São Luís de Montes Belos,1900,,2800,
GO,5220157,São Luíz do Norte,840,1350,300,
GO,5220207,São Miguel do Araguaia,2615,1000,1440,
GO,5220264,São Miguel do Passa Quatro,400,,,
GO,5220280,São Patrício,,,,
GO,5220405,São Simão,360,,600,
GO,5220454,Senador Canedo,700,1850,700,
GO,5220504,Serranópolis,9900,305900,2000,
GO,5220603,Silvânia,1440,6000,1120,
GO,5220686,Simolândia,100,,84,
GO,5220702,Sítio d'Abadia,660,2550,480,
GO,5221007,Taquaral de Goiás,1070,,700,
GO,5221080,Teresina de Goiás,180,900,330,
GO,5221197,Terezópolis de Goiás,450,,420,
GO,5221304,Três Ranchos,140,,450,
GO,5221403,Trindade,2000,38000,4800,
GO,5221452,Trombas,1350,1400,450,
GO,5221502,Turvânia,2850,,720,
GO,5221551,Turvelândia,200,949642,300,
GO,5221577,Uirapuru,1820,450,640,
GO,5221601,Uruaçu,1280,3000,640,
GO,5221700,Uruana,2646,,900,
GO,5221809,Urutaí,200,22950,240,
GO,5221858,Valparaíso de Goiás,,,,
GO,5221908,Varjão,720,1680,600,
GO,5222005,Vianópolis,480,4800,1920,
GO,5222054,Vicentinópolis,1098,,,
GO,5222203,Vila Boa,1930,900,750,
GO,5222302,Vila Propício,,,,
