Sigla,Código,Município,Produção -  arroz (1995),Produção -  cana-de-açúcar (1995),Produção -  mandioca (1995),
GO,5200050,Abadia de Goiás,,,,
GO,5200100,Abadiânia,1760,170,840,
GO,5200134,Acreúna,1430,181700,900,
GO,5200159,Adelândia,550,,480,
GO,5200175,Água Fria de Goiás,1000,1500,450,
GO,5200209,Água Limpa,570,2500,1600,
GO,5200258,Águas Lindas de Goiás,,,,
GO,5200308,Alexânia,720,7500,360,
GO,5200506,Aloândia,340,,,
GO,5200555,Alto Horizonte,770,525,400,
GO,5200605,Alto Paraíso de Goiás,2200,3000,1200,
GO,5200803,Alvorada do Norte,520,1400,360,
GO,5200829,Amaralina,,,,
GO,5200852,Americano do Brasil,600,75000,300,
GO,5200902,Amorinópolis,480,900,1200,
GO,5201108,Anápolis,1200,600,1500,
GO,5201207,Anhanguera,120,,150,
GO,5201306,Anicuns,3150,190000,3000,
GO,5201405,Aparecida de Goiânia,120,1280,210,
GO,5201454,Aparecida do Rio Doce,1260,,450,
GO,5201504,Aporé,1000,336,450,
GO,5201603,Araçu,1070,14800,450,
GO,5201702,Aragarças,300,,1050,
GO,5201801,Aragoiânia,900,860,700,
GO,5202155,Araguapaz,1500,375,360,
GO,5202353,Arenópolis,1200,700,720,
GO,5202502,Aruanã,2890,,300,
GO,5202601,Aurilândia,560,,1800,
GO,5202809,Avelinópolis,1220,,450,
GO,5203104,Baliza,450,,450,
GO,5203203,Barro Alto,1330,63750,2700,
GO,5203302,Bela Vista de Goiás,3360,5700,1260,
GO,5203401,Bom Jardim de Goiás,1600,1200,4500,
GO,5203500,Bom Jesus de Goiás,2230,172550,180,
GO,5203559,Bonfinópolis,180,,480,
GO,5203575,Bonópolis,,,,
GO,5203609,Brazabrantes,450,115000,300,
GO,5203807,Britânia,585,,225,
GO,5203906,Buriti Alegre,2640,,,
GO,5203939,Buriti de Goiás,1050,,450,
GO,5203962,Buritinópolis,200,900,375,
GO,5204003,Cabeceiras,340,1200,750,
GO,5204102,Cachoeira Alta,1440,,700,
GO,5204201,Cachoeira de Goiás,500,,640,
GO,5204250,Cachoeira Dourada,1000,,2090,
GO,5204300,Caçu,1685,,1500,
GO,5204409,Caiapônia,5450,3500,1500,
GO,5204508,Caldas Novas,938,,900,
GO,5204557,Caldazinha,750,600,560,
GO,5204607,Campestre de Goiás,1260,800,1500,
GO,5204656,Campinaçu,2000,2800,900,
GO,5204706,Campinorte,1120,,160,
GO,5204805,Campo Alegre de Goiás,2720,60000,900,
GO,5204854,Campo Limpo de Goiás,,,,
GO,5204904,Campos Belos,780,2310,720,
GO,5204953,Campos Verdes,280,175,80,
GO,5205000,Carmo do Rio Verde,1980,87000,960,
GO,5205059,Castelândia,240,66202,420,
GO,5205109,Catalão,1300,6000,6000,
GO,5205208,Caturaí,1700,15000,250,
GO,5205307,Cavalcante,800,2500,1200,
GO,5205406,Ceres,1080,136000,750,
GO,5205455,Cezarina,1080,1000,450,
GO,5205471,Chapadão do Céu,21800,452,600,
GO,5205497,Cidade Ocidental,153,175,300,
GO,5205513,Cocalzinho de Goiás,2160,,840,
GO,5205521,Colinas do Sul,260,1500,220,
GO,5205703,Córrego do Ouro,600,750,800,
GO,5205802,Corumbá de Goiás,1920,5010,700,
GO,5205901,Corumbaíba,1260,7200,525,
GO,5206206,Cristalina,2872,3600,1200,
GO,5206305,Cristianópolis,180,,,
GO,5206404,Crixás,1680,900,1120,
GO,5206503,Cromínia,2080,,,
GO,5206602,Cumari,520,,1050,
GO,5206701,Damianópolis,480,2300,480,
GO,5206800,Damolândia,306,1520,540,
GO,5206909,Davinópolis,350,,750,
GO,5207105,Diorama,480,900,2000,
GO,5207253,Doverlândia,3750,2250,1500,
GO,5207352,Edealina,1300,,,
GO,5207402,Edéia,1910,,,
GO,5207501,Estrela do Norte,420,1600,560,
GO,5207535,Faina,910,,600,
GO,5207600,Fazenda Nova,1400,,1600,
GO,5207808,Firminópolis,1600,,2000,
GO,5207907,Flores de Goiás,13770,900,700,
GO,5208004,Formosa,2760,4500,1900,
GO,5208103,Formoso,1600,2100,900,
GO,5208152,Gameleira de Goiás,,,,
GO,5208301,Divinópolis de Goiás,630,1200,600,
GO,5208400,Goianápolis,720,130,600,
GO,5208509,Goiandira,1152,4500,900,
GO,5208608,Goianésia,1480,1044000,2240,
GO,5208707,Goiânia,360,,750,
GO,5208806,Goianira,766,12500,1200,
GO,5208905,Goiás,2400,,750,
GO,5209101,Goiatuba,5450,759500,2250,
GO,5209150,Gouvelândia,2080,,900,
GO,5209200,Guapó,900,1700,1500,
GO,5209291,Guaraíta,1080,,350,
GO,5209408,Guarani de Goiás,517,1500,300,
GO,5209457,Guarinos,240,800,140,
GO,5209606,Heitoraí,1380,550,1600,
GO,5209705,Hidrolândia,1040,2250,3920,
GO,5209804,Hidrolina,1280,900,360,
GO,5209903,Iaciara,480,1500,480,
GO,5209937,Inaciolândia,180,5850,1390,
GO,5209952,Indiara,3750,147050,240,
GO,5210000,Inhumas,2700,230000,5100,
GO,5210109,Ipameri,3200,200000,6000,
GO,5210158,Ipiranga de Goiás,,,,
GO,5210208,Iporá,720,2000,4000,
GO,5210307,Israelândia,360,700,900,
GO,5210406,Itaberaí,5200,84500,7000,
GO,5210562,Itaguari,1225,,800,
