Sigla,Código,Município,Produção -  arroz (1975),Produção -  cana-de-açúcar (1975),Produção -  mandioca (1975),
GO,5213400,Moiporá,1800,75,30,
GO,5213509,Monte Alegre de Goiás,1360,750,3600,
GO,5213707,Montes Claros de Goiás,6120,175,200,
GO,5213756,Montividiu,,,,
GO,5213772,Montividiu do Norte,,,,
GO,5213806,Morrinhos,9600,780,3299,
GO,5213855,Morro Agudo de Goiás,,,,
GO,5213905,Mossâmedes,20378,300,200,
GO,5214002,Mozarlândia,4600,255,1800,
GO,5214051,Mundo Novo,,,,
GO,5214101,Mutunópolis,4080,1575,1350,
GO,5214408,Nazário,5300,465,104,
GO,5214507,Nerópolis,2520,1550,390,
GO,5214606,Niquelândia,12000,1300,800,
GO,5214705,Nova América,1364,1000,1000,
GO,5214804,Nova Aurora,440,1635,240,
GO,5214838,Nova Crixás,,,,
GO,5214861,Nova Glória,,,,
GO,5214879,Nova Iguaçu de Goiás,,,,
GO,5214903,Nova Roma,626,484,4000,
GO,5215009,Nova Veneza,2600,650,9,
GO,5215207,Novo Brasil,1120,1088,1600,
GO,5215231,Novo Gama,,,,
GO,5215256,Novo Planalto,,,,
GO,5215306,Orizona,3176,1740,490,
GO,5215405,Ouro Verde de Goiás,1584,900,105,
GO,5215504,Ouvidor,840,300,300,
GO,5215603,Padre Bernardo,6120,225,130,
GO,5215652,Palestina de Goiás,,,,
GO,5215702,Palmeiras de Goiás,28800,840,1600,
GO,5215801,Palmelo,126,75,540,
GO,5215900,Palminópolis,6912,429,180,
GO,5216007,Panamá,7200,950,,
GO,5216304,Paranaiguara,4400,4758,1689,
GO,5216403,Paraúna,98720,550,270,
GO,5216452,Perolândia,,,,
GO,5216809,Petrolina de Goiás,5460,1228,750,
GO,5216908,Pilar de Goiás,8916,1150,1200,
GO,5217104,Piracanjuba,16800,1485,5400,
GO,5217203,Piranhas,3456,1950,2550,
GO,5217302,Pirenópolis,15360,2100,300,
GO,5217401,Pires do Rio,1900,2700,3240,
GO,5217609,Planaltina,3080,3735,2400,
GO,5217708,Pontalina,9720,815,2250,
GO,5218003,Porangatu,10800,1225,4350,
GO,5218052,Porteirão,,,,
GO,5218102,Portelândia,3072,120,150,
GO,5218300,Posse,1952,3000,2000,
GO,5218391,Professor Jamil,,,,
GO,5218508,Quirinópolis,27000,26046,10553,
GO,5218607,Rialma,4800,525,600,
GO,5218706,Rianápolis,3430,,145,
GO,5218789,Rio Quente,,,,
GO,5218805,Rio Verde,70400,78190,3000,
GO,5218904,Rubiataba,10700,1400,1500,
GO,5219001,Sanclerlândia,7800,248,56,
GO,5219100,Santa Bárbara de Goiás,2960,2110,160,
GO,5219209,Santa Cruz de Goiás,2100,1340,2970,
GO,5219258,Santa Fé de Goiás,,,,
GO,5219308,Santa Helena de Goiás,9000,126380,3955,
GO,5219357,Santa Isabel,,,,
GO,5219407,Santa Rita do Araguaia,1728,120,500,
GO,5219456,Santa Rita do Novo Destino,,,,
GO,5219506,Santa Rosa de Goiás,4360,1246,360,
GO,5219605,Santa Tereza de Goiás,3600,700,600,
GO,5219704,Santa Terezinha de Goiás,12220,30,300,
GO,5219712,Santo Antônio da Barra,,,,
GO,5219738,Santo Antônio de Goiás,,,,
GO,5219753,Santo Antônio do Descoberto,,,,
GO,5219803,São Domingos,1260,550,150,
GO,5219902,São Francisco de Goiás,8262,3207,540,
GO,5220009,São João d'Aliança,1120,2150,6400,
GO,5220058,São João da Paraúna,,,,
GO,5220108,São Luís de Montes Belos,7628,4092,794,
GO,5220157,São Luíz do Norte,,,,
GO,5220207,São Miguel do Araguaia,20160,10986,800,
GO,5220264,São Miguel do Passa Quatro,,,,
GO,5220280,São Patrício,,,,
GO,5220405,São Simão,1440,4752,1225,
GO,5220454,Senador Canedo,,,,
GO,5220504,Serranópolis,5304,1000,1200,
GO,5220603,Silvânia,8832,2300,480,
GO,5220686,Simolândia,,,,
GO,5220702,Sítio d'Abadia,404,1200,3000,
GO,5221007,Taquaral de Goiás,13440,642,202,
GO,5221080,Teresina de Goiás,,,,
GO,5221197,Terezópolis de Goiás,,,,
GO,5221304,Três Ranchos,810,135,80,
GO,5221403,Trindade,9300,1200,320,
GO,5221452,Trombas,,,,
GO,5221502,Turvânia,9000,195,394,
GO,5221551,Turvelândia,,,,
GO,5221577,Uirapuru,,,,
GO,5221601,Uruaçu,13440,495,600,
GO,5221700,Uruana,16138,160,265,
GO,5221809,Urutaí,1064,536,96,
GO,5221858,Valparaíso de Goiás,,,,
GO,5221908,Varjão,3840,1300,240,
GO,5222005,Vianópolis,1596,390,100,
GO,5222054,Vicentinópolis,,,,
GO,5222203,Vila Boa,,,,
GO,5222302,Vila Propício,,,,
