SIGLA;CODIBGE;NOMEMUNI;IDH1991;IDH2000;HOMICIDIOS;RENDA1991;RENDA2000
GO;5209101;Goiatuba;0.729;0.812;2;223.378;339.931
GO;5209150;Gouvelândia;0.648;0.738;;153.901;191.453
GO;5209200;Guapó;0.672;0.729;1;154.179;182.433
GO;5209291;Guaraíta;0.604;0.697;;101.135;129.672
GO;5209408;Guarani de Goiás;0.546;0.632;;59.704;89.658
GO;5209457;Guarinos;0.568;0.694;;79.896;145.726
GO;5209606;Heitoraí;0.658;0.744;;123.728;189.659
GO;5209705;Hidrolândia;0.635;0.736;1;114.517;210.992
GO;5209804;Hidrolina;0.643;0.737;1;116.469;220.925
GO;5209903;Iaciara;0.608;0.704;;103.805;119.392
GO;5209937;Inaciolândia;0.648;0.717;;142.682;206.341
GO;5209952;Indiara;0.652;0.73;5;167.818;193.262
GO;5210000;Inhumas;0.677;0.765;5;190.997;256.276
GO;5210109;Ipameri;0.691;0.758;4;155.349;214.698
GO;5210158;Ipiranga de Goiás;;;;;
GO;5210208;Iporá;0.705;0.78;2;176.202;232.029
GO;5210307;Israelândia;0.658;0.73;1;124.634;167.735
GO;5210406;Itaberaí;0.661;0.739;9;166.335;254.248
GO;5210562;Itaguari;0.641;0.72;;129.062;199.565
GO;5210604;Itaguaru;0.656;0.746;;133.583;222.46
GO;5210802;Itajá;0.66;0.747;;180.165;216.734
GO;5210901;Itapaci;0.642;0.724;1;157.11;173.381
GO;5211008;Itapirapuã;0.61;0.707;2;137.291;150.698
GO;5211206;Itapuranga;0.657;0.735;4;151.471;219.464
GO;5211305;Itarumã;0.63;0.735;;209.905;265.6
GO;5211404;Itauçu;0.654;0.742;1;128.074;163.819
GO;5211503;Itumbiara;0.704;0.782;11;228.66;289.318
GO;5211602;Ivolândia;0.672;0.721;;125.489;168.405
GO;5211701;Jandaia;0.663;0.746;3;156.406;189.217
GO;5211800;Jaraguá;0.636;0.728;9;125.197;194.481
GO;5211909;Jataí;0.716;0.793;12;236.295;304.95
GO;5212006;Jaupaci;0.617;0.71;;160.195;169.359
GO;5212055;Jesúpolis;0.626;0.721;1;113.788;171.638
GO;5212105;Joviânia;0.699;0.787;;206.763;325.604
GO;5212204;Jussara;0.664;0.74;;176.689;211.525
GO;5212253;Lagoa Santa;;;;;
GO;5212303;Leopoldo de Bulhões;0.648;0.715;;135.15;194.274
GO;5212501;Luziânia;0.678;0.756;52;176.239;209.95
GO;5212600;Mairipotaba;0.687;0.761;;156.627;236.071
GO;5212709;Mambaí;0.554;0.647;;65.34;95.947
GO;5212808;Mara Rosa;0.624;0.713;;150.082;154.262
GO;5212907;Marzagão;0.703;0.779;;153.784;222.072
GO;5212956;Matrinchã;0.627;0.71;;128.164;161.148
GO;5213004;Maurilândia;0.661;0.726;1;180.452;184.775
GO;5213053;Mimoso de Goiás;0.6;0.664;;84.855;117.295
GO;5213087;Minaçu;0.66;0.749;4;142.146;187.431
GO;5213103;Mineiros;0.701;0.78;4;262.484;289.857
GO;5213400;Moiporá;0.638;0.73;;132.421;176.395
GO;5213509;Monte Alegre de Goiás;0.537;0.625;2;81.837;91.353
GO;5213707;Montes Claros de Goiás;0.656;0.75;3;164.108;194.332
GO;5213756;Montividiu;0.655;0.794;2;229.147;383.357
GO;5213772;Montividiu do Norte;0.574;0.654;;80.78;95.821
GO;5213806;Morrinhos;0.717;0.806;5;179.156;348.563
GO;5213855;Morro Agudo de Goiás;0.615;0.717;;111.265;159.979
GO;5213905;Mossâmedes;0.655;0.75;;113.359;194.118
GO;5214002;Mozarlândia;0.644;0.728;3;139.426;202.632
GO;5214051;Mundo Novo;0.595;0.692;;129.767;153.625
GO;5214101;Mutunópolis;0.639;0.722;1;101.875;165.784
GO;5214408;Nazário;0.688;0.765;2;134.539;202.017
GO;5214507;Nerópolis;0.697;0.785;4;146.325;232.173
GO;5214606;Niquelândia;0.609;0.739;13;125.403;209.602
GO;5214705;Nova América;0.643;0.715;;114.522;147.169
GO;5214804;Nova Aurora;0.697;0.785;;131.78;236.886
GO;5214838;Nova Crixás;0.593;0.686;3;145.144;189.124
GO;5214861;Nova Glória;0.647;0.724;;103.723;147.257
GO;5214879;Nova Iguaçu de Goiás;0.591;0.723;;122.773;182.954
GO;5214903;Nova Roma;0.57;0.679;;83.003;103.788
GO;5215009;Nova Veneza;0.648;0.732;1;125.462;169.981
GO;5215207;Novo Brasil;0.634;0.712;;139.006;182.687
GO;5215231;Novo Gama;0.662;0.742;23;160.64;186.672
GO;5215256;Novo Planalto;0.646;0.715;;131.34;149.179
GO;5215306;Orizona;0.68;0.768;;129.19;245.554
GO;5215405;Ouro Verde de Goiás;0.645;0.719;1;166.716;177.283
GO;5215504;Ouvidor;0.704;0.785;;152.692;211.205
GO;5215603;Padre Bernardo;0.622;0.705;5;101.87;163.146
GO;5215652;Palestina de Goiás;0.647;0.739;1;118.481;178.302
GO;5215702;Palmeiras de Goiás;0.678;0.76;;167.603;185.394
GO;5215801;Palmelo;0.692;0.787;;136.157;220.178
GO;5215900;Palminópolis;0.647;0.753;1;136.633;220.41
GO;5216007;Panamá;0.684;0.734;;165.839;182.558
GO;5216304;Paranaiguara;0.681;0.751;1;203.43;241.722
GO;5216403;Paraúna;0.677;0.742;1;176.911;245.927
GO;5216452;Perolândia;0.611;0.73;2;131.965;211.07
GO;5216809;Petrolina de Goiás;0.641;0.733;2;113.392;192.064
GO;5216908;Pilar de Goiás;0.584;0.7;1;113.933;130.363
GO;5217104;Piracanjuba;0.714;0.755;1;213.712;250.503
